source,target,value
WMST 102,GRSJ 310,0.33
GRSJ 101,GRSJ 311,0.33
GRSJ 102,GRSJ 311,0.33
WMST 101,GRSJ 311,0.33
WMST 102,GRSJ 311,0.33
GRSJ 101,GRSJ 320,0.33
GRSJ 102,GRSJ 320,0.33
WMST 101,GRSJ 320,0.33
WMST 102,GRSJ 320,0.33
GRSJ 101,GRSJ 325,0.5
GRSJ 102,GRSJ 325,0.5
GRSJ 101,GRSJ 326,0.5
GRSJ 102,GRSJ 326,0.5
GRSJ 101,GRSJ 327,0.33
GRSJ 102,GRSJ 327,0.33
WMST 101,GRSJ 327,0.33
WMST 102,GRSJ 327,0.33
GRSJ 101,GRSJ 328,0.33
GRSJ 102,GRSJ 328,0.33
WMST 101,GRSJ 328,0.33
WMST 102,GRSJ 328,0.33
GRSJ 101,GRSJ 401,0.5
GRSJ 102,GRSJ 401,0.5
WMST 101,GRSJ 401,0.5
WMST 102,GRSJ 401,0.5
GRSJ 101,GRSJ 410,1
GRSJ 102,GRSJ 410,1
GRSJ 101,GRSJ 422,0.33
GRSJ 102,GRSJ 422,0.33
WMST 101,GRSJ 422,0.33
WMST 102,GRSJ 422,0.33
GRSJ 101,GRSJ 425,0.33
GRSJ 102,GRSJ 425,0.33
WMST 101,GRSJ 425,0.33
WMST 102,GRSJ 425,0.33
GRSJ 101,GRSJ 480,1
GRSJ 102,GRSJ 480,1
CHEM 111,GRS 300,0.5
CHEM 121,GRS 300,0.5
BIOL 112,GRS 300,0.33
BIOL 121,GRS 300,0.33
BIOL 140,GRS 300,0.33
GRS 290,GRS 390,1
GRS 390,GRS 490,1
GRS 397,GRS 497,1
HEBR 101,HEBR 102,1
HEBR 102,HEBR 201,1
HEBR 201,HEBR 202,1
HEBR 202,HEBR 479,1
HGSE 311,HGSE 310,1
HGSE 310,HGSE 311,1
HGSE 312,HGSE 310,1
HGSE 310,HGSE 312,1
HGSE 313,HGSE 310,1
HGSE 310,HGSE 313,1
HGSE 314,HGSE 310,1
HGSE 310,HGSE 314,1
HGSE 312,HGSE 311,1
HGSE 311,HGSE 312,1
HGSE 313,HGSE 311,1
HGSE 311,HGSE 313,1
HGSE 314,HGSE 311,1
HGSE 311,HGSE 314,1
HGSE 313,HGSE 312,1
HGSE 312,HGSE 313,1
HGSE 314,HGSE 312,1
HGSE 312,HGSE 314,1
HGSE 314,HGSE 313,1
HGSE 313,HGSE 314,1
HGSE 350,HGSE 351,1
HGSE 351,HGSE 350,1
HGSE 352,HGSE 351,1
HGSE 351,HGSE 352,1
HGSE 353,HGSE 351,1
HGSE 351,HGSE 353,1
HGSE 354,HGSE 351,1
HGSE 351,HGSE 354,1
HGSE 350,HGSE 352,1
HGSE 352,HGSE 350,1
HGSE 353,HGSE 352,1
HGSE 352,HGSE 353,1
HGSE 354,HGSE 352,1
HGSE 352,HGSE 354,1
HGSE 350,HGSE 353,1
HGSE 353,HGSE 350,1
HGSE 354,HGSE 353,1
HGSE 353,HGSE 354,1
HGSE 350,HGSE 354,1
HGSE 354,HGSE 350,1
HGSE 356,HGSE 355,1
HGSE 355,HGSE 356,1
HGSE 357,HGSE 355,1
HGSE 355,HGSE 357,1
HGSE 358,HGSE 355,1
HGSE 355,HGSE 358,1
HGSE 359,HGSE 355,1
HGSE 355,HGSE 359,1
HGSE 357,HGSE 356,1
HGSE 356,HGSE 357,1
HGSE 358,HGSE 356,1
HGSE 356,HGSE 358,1
HGSE 359,HGSE 356,1
HGSE 356,HGSE 359,1
HGSE 358,HGSE 357,1
HGSE 357,HGSE 358,1
HGSE 359,HGSE 357,1
HGSE 357,HGSE 359,1
HGSE 359,HGSE 358,1
HGSE 358,HGSE 359,1
HGSE 360,HGSE 362,1
HGSE 362,HGSE 360,1
HGSE 361,HGSE 362,1
HGSE 362,HGSE 361,1
HGSE 363,HGSE 362,1
HGSE 362,HGSE 363,1
HGSE 364,HGSE 362,1
HGSE 362,HGSE 364,1
HGSE 360,HGSE 363,1
HGSE 363,HGSE 360,1
HGSE 361,HGSE 363,1
HGSE 363,HGSE 361,1
HGSE 364,HGSE 363,1
HGSE 363,HGSE 364,1
HGSE 360,HGSE 364,1
HGSE 364,HGSE 360,1
HGSE 361,HGSE 364,1
HGSE 364,HGSE 361,1
HGSE 370,HGSE 371,1
HGSE 371,HGSE 370,1
HGSE 372,HGSE 371,1
HGSE 371,HGSE 372,1
HGSE 373,HGSE 371,1
HGSE 371,HGSE 373,1
HGSE 374,HGSE 371,1
HGSE 371,HGSE 374,1
HGSE 370,HGSE 373,1
HGSE 373,HGSE 370,1
HGSE 372,HGSE 373,1
HGSE 373,HGSE 372,1
HGSE 374,HGSE 373,1
HGSE 373,HGSE 374,1
HGSE 370,HGSE 374,1
HGSE 374,HGSE 370,1
HGSE 372,HGSE 374,1
HGSE 374,HGSE 372,1
HGSE 381,HGSE 380,1
HGSE 380,HGSE 381,1
HGSE 382,HGSE 380,1
HGSE 380,HGSE 382,1
HGSE 383,HGSE 380,1
HGSE 380,HGSE 383,1
HGSE 384,HGSE 380,1
HGSE 380,HGSE 384,1
HGSE 382,HGSE 381,1
HGSE 381,HGSE 382,1
HGSE 383,HGSE 381,1
HGSE 381,HGSE 383,1
HGSE 384,HGSE 381,1
HGSE 381,HGSE 384,1
HGSE 383,HGSE 382,1
HGSE 382,HGSE 383,1
HGSE 384,HGSE 382,1
HGSE 382,HGSE 384,1
HGSE 384,HGSE 383,1
HGSE 383,HGSE 384,1
HINU 100,HINU 101,1
HINU 101,HINU 200,0.5
HINU 102,HINU 200,0.5
HINU 101,HINU 201,1
HINU 201,HINU 202,1
HINU 200,HINU 300,0.5
HINU 202,HINU 300,0.5
HINU 202,HINU 301,1
HINU 301,HINU 302,1
HINU 300,HINU 305,0.5
HINU 305,HINU 300,0.5
HINU 400,HINU 305,0.5
HINU 305,HINU 400,0.5
HINU 300,HINU 400,1
HINU 200,HINU 450,0.5
APSC 176,IGEN 201,0.14
ENGL 110,IGEN 201,0.14
ENGL 111,IGEN 201,0.14
ENGL 112,IGEN 201,0.14
ENGL 120,IGEN 201,0.14
ENGL 121,IGEN 201,0.14
WRDS 150,IGEN 201,0.14
IGEN 230,IGEN 201,1
IGEN 201,IGEN 230,1
MECH 221,IGEN 450,0.5
APSC 278,IGEN 450,0.5
CIVL 215,IGEN 450,0.25
MTRL 263,IGEN 450,0.25
CIVL 230,IGEN 450,0.25
MECH 260,IGEN 450,0.25
MECH 221,IGEN 451,0.5
APSC 278,IGEN 451,0.5
CIVL 215,IGEN 451,0.25
MTRL 263,IGEN 451,0.25
CIVL 230,IGEN 451,0.25
MECH 260,IGEN 451,0.25
IGEN 450,IGEN 452,1
ILS 100,ILS 106,1
ILS 101,ILS 106,1
ILS 102,ILS 107,1
ILS 100,ILS 200,1
ILS 100,ILS 201,1
ILS 200,ILS 201,1
ILS 201,ILS 204,1
ILS 100,ILS 300,1
ILS 200,ILS 300,1
ILS 102,ILS 302,1
ILS 200,ILS 303,1
ILS 204,ILS 303,1
ILS 201,ILS 304,1
ILS 305,ILS 306,1
ILS 306,ILS 305,1
ILS 307,ILS 306,1
ILS 306,ILS 307,1
ILS 305,ILS 307,1
ILS 307,ILS 305,1
ILS 203,ILS 400,1
ILS 100,ILS 402,0.5
ILS 200,ILS 402,0.5
ILS 300,ILS 402,0.5
ILS 402,ILS 403,1
INDO 100,INDO 101,1
INDO 101,INDO 200,0.5
INDO 102,INDO 200,0.5
INDO 101,INDO 201,1
INDO 201,INDO 202,1
INFO 200,INFO 300,1
INFO 100,INFO 304,1
INFO 250,INFO 419,1
INFO 250,INFO 456,1
INLB 210,INLB 310,1
INLB 220,INLB 320,1
ISCI 360,ISCI 361,0.5
ISCI 398,ISCI 399,1
ISCI 361,ISCI 461,1
ISCI 399,ISCI 498,1
ISCI 498,ISCI 499,1
ITAL 101,ITAL 102,1
ITAL 101,ITAL 104,1
ITAL 102,ITAL 201,0.5
ITAL 201,ITAL 202,1
ITAL 201,ITAL 206,1
ITAL 202,ITAL 301,0.17
ITAL 203,ITAL 301,0.17
ITAL 206,ITAL 301,0.17
ITAL 301,ITAL 302,1
ITAL 102,ITAL 322,0.5
ITAL 202,ITAL 325,1
ITAL 302,ITAL 401,0.5
ITAL 401,ITAL 402,1
JAPN 100,JAPN 101,1
JAPN 101,JAPN 200,0.33
JAPN 150,JAPN 200,0.33
JAPN 160,JAPN 200,0.33
JAPN 102,JAPN 201,0.5
JAPN 200,JAPN 201,0.5
JAPN 101,JAPN 260,0.33
JAPN 150,JAPN 260,0.33
JAPN 160,JAPN 260,0.33
JAPN 103,JAPN 320,0.25
JAPN 151,JAPN 320,0.25
JAPN 201,JAPN 320,0.25
JAPN 260,JAPN 320,0.25
JAPN 210,JAPN 321,0.5
JAPN 320,JAPN 321,0.5
JAPN 211,JAPN 322,0.25
JAPN 250,JAPN 322,0.25
JAPN 321,JAPN 322,0.25
JAPN 360,JAPN 322,0.25
JAPN 212,JAPN 323,0.5
JAPN 322,JAPN 323,0.5
JAPN 103,JAPN 360,0.25
JAPN 151,JAPN 360,0.25
JAPN 201,JAPN 360,0.25
JAPN 260,JAPN 360,0.25
JAPN 211,JAPN 361,0.25
JAPN 250,JAPN 361,0.25
JAPN 321,JAPN 361,0.25
JAPN 360,JAPN 361,0.25
JAPN 213,JAPN 400,0.25
JAPN 251,JAPN 400,0.25
JAPN 323,JAPN 400,0.25
JAPN 361,JAPN 400,0.25
JAPN 300,JAPN 401,0.5
JAPN 400,JAPN 401,0.5
JAPN 213,JAPN 402,0.25
JAPN 251,JAPN 402,0.25
JAPN 323,JAPN 402,0.25
JAPN 361,JAPN 402,0.25
JAPN 302,JAPN 403,0.5
JAPN 402,JAPN 403,0.5
JAPN 311,JAPN 423,0.5
JAPN 422,JAPN 423,0.5
JAPN 213,JAPN 424,0.25
JAPN 251,JAPN 424,0.25
JAPN 323,JAPN 424,0.25
JAPN 361,JAPN 424,0.25
JAPN 314,JAPN 425,0.5
JAPN 424,JAPN 425,0.5
JAPN 300,JAPN 450,0.5
JAPN 400,JAPN 450,0.5
JAPN 302,JAPN 450,0.25
JAPN 402,JAPN 450,0.25
JAPN 314,JAPN 450,0.25
JAPN 424,JAPN 450,0.25
JAPN 410,JAPN 451,0.5
JAPN 450,JAPN 451,0.5
JAPN 301,JAPN 452,0.5
JAPN 401,JAPN 452,0.5
JAPN 301,JAPN 453,0.5
JAPN 401,JAPN 453,0.5
JAPN 301,JAPN 456,0.5
JAPN 401,JAPN 456,0.5
JAPN 302,JAPN 456,0.25
JAPN 402,JAPN 456,0.25
JAPN 314,JAPN 456,0.25
JAPN 424,JAPN 456,0.25
JAPN 416,JAPN 457,0.5
JAPN 456,JAPN 457,0.5
JAPN 301,JAPN 459,0.33
JAPN 401,JAPN 459,0.33
JAPN 301,JAPN 460,0.5
JAPN 401,JAPN 460,0.5
JAPN 303,JAPN 460,0.5
JAPN 403,JAPN 460,0.5
JAPN 420,JAPN 461,0.5
JAPN 460,JAPN 461,0.5
JAPN 450,JAPN 465,0.13
JAPN 452,JAPN 465,0.13
JAPN 453,JAPN 465,0.13
JAPN 456,JAPN 465,0.13
KIN 131,KIN 232,1
KIN 132,KIN 232,1
KIN 131,KIN 235,1
KIN 132,KIN 235,1
KIN 140,KIN 341,0.33
KIN 284,KIN 341,0.33
KIN 140,KIN 342,0.33
KIN 284,KIN 342,0.33
KIN 140,KIN 355,0.33
KIN 284,KIN 355,0.33
KIN 131,KIN 432,1
KIN 132,KIN 432,1
KIN 232,KIN 432,1
KIN 335,KIN 438,1
KIN 140,KIN 444,0.33
KIN 284,KIN 444,0.33
KIN 342,KIN 478,1
KIN 310,KIN 482,0.17
KIN 311,KIN 482,0.17
KIN 313,KIN 482,0.17
KIN 316,KIN 482,0.17
KIN 411,KIN 482,0.17
KIN 419,KIN 482,0.17
KORN 100,KORN 101,1
KORN 101,KORN 200,0.5
KORN 102,KORN 200,0.5
KORN 101,KORN 201,1
KORN 201,KORN 202,1
KORN 200,KORN 300,0.5
KORN 202,KORN 300,0.5
KORN 202,KORN 301,0.5
KORN 301,KORN 302,0.5
KORN 300,KORN 410,0.5
KORN 301,KORN 410,0.5
KORN 302,KORN 410,0.5
KORN 300,KORN 411,1
KORN 300,KORN 415,1
KORN 410,KORN 420,0.5
KORN 410,KORN 440,0.5
UFOR 316,LARC 415,1
LASO 204,LASO 309,1
LASO 204,LASO 350,1
LATN 101,LATN 102,1
LATN 102,LATN 201,1
LATN 201,LATN 202,1
LATN 202,LATN 350,0.5
LATN 200,LATN 350,0.5
LATN 200,LATN 351,0.5
LATN 202,LATN 351,0.5
LATN 350,LATN 401,0.5
LATN 401,LATN 350,0.5
LATN 351,LATN 401,0.5
LATN 401,LATN 351,0.5
LATN 350,LATN 402,0.5
LATN 402,LATN 350,0.5
LATN 351,LATN 402,0.5
LATN 402,LATN 351,0.5
LATN 350,LATN 403,0.5
LATN 403,LATN 350,0.5
LATN 351,LATN 403,0.5
LATN 403,LATN 351,0.5
LAW 379,LAW 380,1
LAW 380,LAW 379,1
LAW 428,LAW 427,1
LAW 427,LAW 428,1
LAW 407,LAW 466,1
LAW 459,LAW 466,1
LAW 463,LAW 466,1
LAW 471,LAW 470,0.5
LAW 470,LAW 471,0.5
LAW 476,LAW 470,0.5
LAW 470,LAW 476,0.5
LAW 476,LAW 488,1
MATH 100,LFS 252,0.14
MATH 102,LFS 252,0.14
MATH 104,LFS 252,0.14
MATH 110,LFS 252,0.14
MATH 120,LFS 252,0.14
MATH 180,LFS 252,0.14
MATH 184,LFS 252,0.14
LFS 250,LFS 350,1
LFS 398,LFS 399,1
LFS 399,LFS 498,1
LFS 498,LFS 499,1
LING 100,LING 242,0.13
LING 101,LING 242,0.13
LING 140,LING 242,0.13
LING 170,LING 242,0.13
LING 200,LING 242,0.13
LING 201,LING 242,0.13
ENGL 330,LING 242,0.13
ENGL 331,LING 242,0.13
LING 100,LING 270,0.25
LING 101,LING 270,0.25
LING 140,LING 270,0.25
LING 170,LING 270,0.25
LING 201,LING 300,1
LING 200,LING 311,1
LING 200,LING 313,1
LING 200,LING 314,1
LING 200,LING 319,1
LING 201,LING 319,1
LING 201,LING 327,1
LING 200,LING 333,1
LING 201,LING 333,1
LING 201,LING 342,0.5
ENGL 331,LING 342,0.5
STAT 200,LING 342,0.17
STAT 203,LING 342,0.17
STAT 251,LING 342,0.17
STAT 302,LING 342,0.17
MATH 302,LING 342,0.17
PSYC 218,LING 342,0.17
LING 201,LING 345,0.33
ENGL 331,LING 345,0.33
PHIL 220,LING 345,0.33
LING 300,LING 405,1
LING 311,LING 405,1
LING 311,LING 410,1
LING 319,LING 415,0.2
LING 445,LING 415,0.2
ENGL 318,LING 415,0.2
ENGL 319,LING 415,0.2
ENGL 324,LING 415,0.2
LING 300,LING 421,1
LING 327,LING 425,0.5
PHIL 220,LING 425,0.5
LING 300,LING 431,1
LING 311,LING 431,1
LING 431,LING 432,1
LING 200,LING 440,1
LING 201,LING 440,1
LING 200,LING 445,1
LING 201,LING 445,1
LING 222,LING 451,1
LING 311,LING 451,1
LING 222,LING 452,1
LING 300,LING 452,1
EDUC 310,LLED 310,1
LLED 310,EDUC 310,1
EDUC 315,LLED 310,1
LLED 310,EDUC 315,1
LLED 310,LLED 320,1
French 12,LLED 324,0.5
FREN 220,LLED 428,0.5
FREN 222,LLED 428,0.5
FREN 223,LLED 428,0.5
LLED 314,LLED 439,1
LLED 315,LLED 478,1
APSC 176,MANU 201,0.14
ENGL 110,MANU 201,0.14
ENGL 111,MANU 201,0.14
ENGL 112,MANU 201,0.14
ENGL 120,MANU 201,0.14
ENGL 121,MANU 201,0.14
WRDS 150,MANU 201,0.14
MATH 101,MANU 261,1
MATH 152,MANU 261,1
PHYS 158,MANU 261,1
MATH 255,MANU 261,1
MANU 261,MATH 255,1
MATH 101,MANU 265,1
MATH 152,MANU 265,1
PHYS 158,MANU 265,1
PHYS 170,MANU 265,1
MATH 255,MANU 265,1
MANU 265,MATH 255,1
MANU 230,MANU 330,1
MANU 270,MANU 370,1
APSC 278,MANU 378,1
APSC 278,MANU 380,1
APSC 279,MANU 380,1
MTRL 264,MANU 380,1
MECH 260,MANU 380,1
MANU 261,MANU 380,0.5
MTRL 250,MANU 380,0.5
MECH 280,MANU 380,0.5
MTRL 263,MANU 380,0.5
MANU 265,MANU 386,1
MATH 255,MANU 386,1
MANU 330,MANU 386,1
MANU 386,MANU 330,1
MANU 230,MANU 430,1
MANU 380,MANU 480,1
MANU 380,MANU 481,1
MANU 265,MANU 487,1
MATH 255,MANU 487,1
MECH 368,MANU 487,1
MANU 430,MANU 487,1
MANU 487,MANU 430,1
MATH 100,MATH 101,0.14
MATH 102,MATH 101,0.14
MATH 104,MATH 101,0.14
MATH 110,MATH 101,0.14
MATH 120,MATH 101,0.14
MATH 180,MATH 101,0.14
MATH 184,MATH 101,0.14
Principles of Mathematics 12,MATH 102,0.5
Pre-calculus 12,MATH 102,0.5
MATH 100,MATH 103,0.14
MATH 102,MATH 103,0.14
MATH 104,MATH 103,0.14
MATH 110,MATH 103,0.14
MATH 120,MATH 103,0.14
MATH 180,MATH 103,0.14
MATH 184,MATH 103,0.14
MATH 100,MATH 105,0.14
MATH 102,MATH 105,0.14
MATH 104,MATH 105,0.14
MATH 110,MATH 105,0.14
MATH 120,MATH 105,0.14
MATH 180,MATH 105,0.14
MATH 184,MATH 105,0.14
Principles of Mathematics 12,MATH 110,0.5
Pre-calculus 12,MATH 110,0.5
MATH 120,MATH 121,0.33
MATH 100,MATH 121,0.07
MATH 102,MATH 121,0.07
MATH 104,MATH 121,0.07
MATH 180,MATH 121,0.07
MATH 184,MATH 121,0.07
MATH 101,MATH 152,1
MATH 152,MATH 101,1
Principles of Mathematics 12,MATH 180,0.5
Pre-calculus 12,MATH 180,0.5
Principles of Mathematics 12,MATH 184,0.5
Pre-calculus 12,MATH 184,0.5
MATH 101,MATH 200,0.2
MATH 103,MATH 200,0.2
MATH 105,MATH 200,0.2
MATH 121,MATH 200,0.2
SCIE 001,MATH 200,0.2
MATH 101,MATH 210,0.2
MATH 103,MATH 210,0.2
MATH 105,MATH 210,0.2
MATH 121,MATH 210,0.2
SCIE 001,MATH 210,0.2
MATH 215,MATH 210,0.25
MATH 210,MATH 215,0.25
MATH 255,MATH 210,0.25
MATH 210,MATH 255,0.25
MATH 256,MATH 210,0.25
MATH 210,MATH 256,0.25
MATH 258,MATH 210,0.25
MATH 210,MATH 258,0.25
MATH 152,MATH 210,0.33
MATH 210,MATH 152,0.33
MATH 221,MATH 210,0.33
MATH 210,MATH 221,0.33
MATH 223,MATH 210,0.33
MATH 210,MATH 223,0.33
MATH 101,MATH 215,0.2
MATH 103,MATH 215,0.2
MATH 105,MATH 215,0.2
MATH 121,MATH 215,0.2
SCIE 001,MATH 215,0.2
MATH 152,MATH 215,0.33
MATH 221,MATH 215,0.33
MATH 223,MATH 215,0.33
MATH 200,MATH 215,0.2
MATH 215,MATH 200,0.2
MATH 217,MATH 215,0.2
MATH 215,MATH 217,0.2
MATH 226,MATH 215,0.2
MATH 215,MATH 226,0.2
MATH 253,MATH 215,0.2
MATH 215,MATH 253,0.2
MATH 254,MATH 215,0.2
MATH 215,MATH 254,0.2
PHYS 102,MATH 217,0.17
PHYS 108,MATH 217,0.17
PHYS 118,MATH 217,0.17
PHYS 153,MATH 217,0.17
PHYS 158,MATH 217,0.17
SCIE 001,MATH 217,0.2
MATH 101,MATH 217,0.2
MATH 103,MATH 217,0.2
MATH 105,MATH 217,0.2
MATH 121,MATH 217,0.2
MATH 152,MATH 217,0.33
MATH 217,MATH 152,0.33
MATH 221,MATH 217,0.33
MATH 217,MATH 221,0.33
MATH 223,MATH 217,0.33
MATH 217,MATH 223,0.33
MATH 101,MATH 220,0.13
MATH 103,MATH 220,0.13
MATH 105,MATH 220,0.13
SCIE 001,MATH 220,0.13
MATH 121,MATH 220,0.08
MATH 200,MATH 220,0.08
MATH 217,MATH 220,0.08
MATH 226,MATH 220,0.08
MATH 253,MATH 220,0.08
MATH 254,MATH 220,0.08
MATH 100,MATH 221,0.33
MATH 102,MATH 221,0.05
MATH 104,MATH 221,0.05
MATH 110,MATH 221,0.05
MATH 120,MATH 221,0.05
MATH 180,MATH 221,0.05
MATH 184,MATH 221,0.05
MATH 101,MATH 221,0.07
MATH 103,MATH 221,0.07
MATH 105,MATH 221,0.07
MATH 121,MATH 221,0.07
SCIE 001,MATH 221,0.07
MATH 121,MATH 223,0.5
MATH 101,MATH 223,0.13
MATH 103,MATH 223,0.13
MATH 105,MATH 223,0.13
SCIE 001,MATH 223,0.13
MATH 121,MATH 226,0.5
MATH 101,MATH 226,0.13
MATH 103,MATH 226,0.13
MATH 105,MATH 226,0.13
SCIE 001,MATH 226,0.13
MATH 152,MATH 226,0.33
MATH 226,MATH 152,0.33
MATH 221,MATH 226,0.33
MATH 226,MATH 221,0.33
MATH 223,MATH 226,0.33
MATH 226,MATH 223,0.33
MATH 226,MATH 227,1
Principles of Mathematics 11,MATH 230,1
MATH 101,MATH 253,0.2
MATH 103,MATH 253,0.2
MATH 105,MATH 253,0.2
MATH 121,MATH 253,0.2
SCIE 001,MATH 253,0.2
MATH 101,MATH 254,1
MATH 152,MATH 254,0.33
MATH 221,MATH 254,0.33
MATH 223,MATH 254,0.33
MECH 222,MATH 254,1
MATH 254,MECH 222,1
MECH 225,MATH 254,1
MATH 254,MECH 225,1
MATH 101,MATH 255,0.2
MATH 103,MATH 255,0.2
MATH 105,MATH 255,0.2
MATH 121,MATH 255,0.2
SCIE 001,MATH 255,0.2
MATH 152,MATH 255,0.33
MATH 221,MATH 255,0.33
MATH 223,MATH 255,0.33
MATH 200,MATH 255,0.2
MATH 255,MATH 200,0.2
MATH 217,MATH 255,0.2
MATH 255,MATH 217,0.2
MATH 226,MATH 255,0.2
MATH 255,MATH 226,0.2
MATH 253,MATH 255,0.2
MATH 255,MATH 253,0.2
MATH 254,MATH 255,0.2
MATH 255,MATH 254,0.2
MATH 101,MATH 256,0.2
MATH 103,MATH 256,0.2
MATH 105,MATH 256,0.2
MATH 121,MATH 256,0.2
SCIE 001,MATH 256,0.2
MATH 152,MATH 256,0.33
MATH 221,MATH 256,0.33
MATH 223,MATH 256,0.33
MATH 200,MATH 256,0.2
MATH 256,MATH 200,0.2
MATH 217,MATH 256,0.2
MATH 256,MATH 217,0.2
MATH 226,MATH 256,0.2
MATH 256,MATH 226,0.2
MATH 253,MATH 256,0.2
MATH 256,MATH 253,0.2
MATH 263,MATH 256,0.2
MATH 256,MATH 263,0.2
MATH 215,MATH 257,0.25
MATH 255,MATH 257,0.25
MATH 256,MATH 257,0.25
MATH 258,MATH 257,0.25
MATH 101,MATH 258,1
MATH 152,MATH 258,0.33
MATH 221,MATH 258,0.33
MATH 223,MATH 258,0.33
MECH 221,MATH 258,1
MATH 258,MECH 221,1
MECH 224,MATH 258,1
MATH 258,MECH 224,1
MATH 200,MATH 264,0.2
MATH 217,MATH 264,0.2
MATH 226,MATH 264,0.2
MATH 253,MATH 264,0.2
MATH 254,MATH 264,0.2
MATH 200,MATH 300,0.2
MATH 217,MATH 300,0.25
MATH 226,MATH 300,0.2
MATH 253,MATH 300,0.2
MATH 254,MATH 300,0.25
MATH 300,MATH 217,0.25
MATH 227,MATH 300,0.25
MATH 300,MATH 227,0.25
MATH 300,MATH 254,0.25
MATH 317,MATH 300,0.25
MATH 300,MATH 317,0.25
MATH 300,MATH 301,0.5
MATH 305,MATH 301,0.5
MATH 215,MATH 301,0.25
MATH 255,MATH 301,0.25
MATH 256,MATH 301,0.25
MATH 258,MATH 301,0.25
MATH 301,MATH 256,0.17
MATH 257,MATH 301,0.17
MATH 301,MATH 257,0.17
MATH 316,MATH 301,0.17
MATH 301,MATH 316,0.17
MATH 358,MATH 301,0.17
MATH 301,MATH 358,0.17
MECH 358,MATH 301,0.17
MATH 301,MECH 358,0.17
PHYS 312,MATH 301,0.17
MATH 301,PHYS 312,0.17
MATH 200,MATH 302,0.2
MATH 217,MATH 302,0.2
MATH 226,MATH 302,0.2
MATH 253,MATH 302,0.2
MATH 254,MATH 302,0.2
MATH 302,MATH 303,0.5
STAT 302,MATH 303,0.5
MATH 200,MATH 305,0.2
MATH 217,MATH 305,0.2
MATH 226,MATH 305,0.2
MATH 253,MATH 305,0.2
MATH 254,MATH 305,0.2
MATH 215,MATH 305,0.25
MATH 255,MATH 305,0.25
MATH 256,MATH 305,0.25
MATH 258,MATH 305,0.25
MATH 305,MATH 256,0.17
MATH 257,MATH 305,0.17
MATH 305,MATH 257,0.17
MATH 316,MATH 305,0.17
MATH 305,MATH 316,0.17
MATH 358,MATH 305,0.17
MATH 305,MATH 358,0.17
MECH 358,MATH 305,0.17
MATH 305,MECH 358,0.17
PHYS 312,MATH 305,0.17
MATH 305,PHYS 312,0.17
MATH 152,MATH 307,0.33
MATH 221,MATH 307,0.33
MATH 223,MATH 307,0.33
MATH 200,MATH 307,0.2
MATH 217,MATH 307,0.2
MATH 226,MATH 307,0.2
MATH 253,MATH 307,0.2
MATH 254,MATH 307,0.2
MATH 152,MATH 308,0.25
MATH 221,MATH 308,0.25
MATH 220,MATH 308,0.17
MATH 226,MATH 308,0.17
CPSC 121,MATH 308,0.17
MATH 223,MATH 308,0.5
MATH 152,MATH 309,0.25
MATH 221,MATH 309,0.25
MATH 220,MATH 309,0.17
MATH 226,MATH 309,0.17
CPSC 121,MATH 309,0.17
MATH 223,MATH 309,0.5
MATH 152,MATH 310,0.5
MATH 221,MATH 310,0.5
MATH 220,MATH 310,0.33
MATH 226,MATH 310,0.33
CPSC 121,MATH 310,0.33
MATH 220,MATH 312,0.25
MATH 223,MATH 312,0.25
MATH 226,MATH 312,0.25
CPSC 121,MATH 312,0.25
MATH 312,MATH 313,1
MATH 215,MATH 316,0.25
MATH 255,MATH 316,0.25
MATH 256,MATH 316,0.25
MATH 258,MATH 316,0.25
MATH 200,MATH 317,0.33
MATH 226,MATH 317,0.33
MATH 253,MATH 317,0.33
MATH 152,MATH 318,0.33
MATH 221,MATH 318,0.33
MATH 223,MATH 318,0.33
MATH 215,MATH 318,0.25
MATH 255,MATH 318,0.25
MATH 256,MATH 318,0.25
MATH 258,MATH 318,0.25
MATH 318,MATH 256,0.17
MATH 257,MATH 318,0.17
MATH 318,MATH 257,0.17
MATH 316,MATH 318,0.17
MATH 318,MATH 316,0.17
MATH 358,MATH 318,0.17
MATH 318,MATH 358,0.17
MECH 358,MATH 318,0.17
MATH 318,MECH 358,0.17
PHYS 312,MATH 318,0.17
MATH 318,PHYS 312,0.17
MATH 220,MATH 319,0.5
MATH 223,MATH 319,0.25
MATH 226,MATH 319,0.25
MATH 226,MATH 320,0.5
MATH 200,MATH 320,0.1
MATH 217,MATH 320,0.1
MATH 253,MATH 320,0.1
MATH 254,MATH 320,0.1
MATH 220,MATH 320,0.5
MATH 320,MATH 321,1
MATH 223,MATH 322,0.25
MATH 310,MATH 322,0.25
MATH 152,MATH 322,0.17
MATH 221,MATH 322,0.17
MATH 220,MATH 322,0.5
MATH 322,MATH 323,1
MATH 152,MATH 340,0.33
MATH 221,MATH 340,0.33
MATH 223,MATH 340,0.33
MATH 220,MATH 341,0.25
MATH 223,MATH 341,0.25
MATH 226,MATH 341,0.25
CPSC 121,MATH 341,0.25
MATH 152,MATH 342,0.25
MATH 221,MATH 342,0.25
MATH 220,MATH 342,0.17
MATH 226,MATH 342,0.17
CPSC 121,MATH 342,0.17
MATH 223,MATH 342,0.5
MATH 152,MATH 344,0.25
MATH 221,MATH 344,0.25
MATH 220,MATH 344,0.17
MATH 226,MATH 344,0.17
CPSC 121,MATH 344,0.17
MATH 223,MATH 344,0.5
